agent_number,statistic,season,year,prop_missing,temperature,period_start,period_end,lat,lon,site,anomaly,reference_period
3715,Average,Autumn,2019,0,15.666666666666700,2019-03-01,2019-05-31,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Average,Spring,2019,0,13.233333333333300,2019-09-01,2019-11-30,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Average,Summer,2019,0,18.666666666666700,2018-12-01,2019-02-28,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Average,Winter,2019,0,11,2019-06-01,2019-08-31,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Maximum,Autumn,2019,0,20.1,2019-03-01,2019-05-31,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Maximum,Spring,2019,0,17.333333333333300,2019-09-01,2019-11-30,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Maximum,Summer,2019,0,23,2018-12-01,2019-02-28,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Maximum,Winter,2019,0,14.800000000000000,2019-06-01,2019-08-31,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Minimum,Autumn,2019,0,11.233333333333300,2019-03-01,2019-05-31,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Minimum,Spring,2019,0,9.133333333333330,2019-09-01,2019-11-30,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Minimum,Summer,2019,0,14.433333333333300,2018-12-01,2019-02-28,-39.93704,175.04509,Whanganui,NA,1961-1990
3715,Minimum,Winter,2019,0,7.166666666666670,2019-06-01,2019-08-31,-39.93704,175.04509,Whanganui,NA,1961-1990
37662,Average,Autumn,2019,0,14.200000000000000,2019-03-01,2019-05-31,-40.957,175.707,Masterton,NA,1961-1990
37662,Average,Spring,2019,0,12.900000000000000,2019-09-01,2019-11-30,-40.957,175.707,Masterton,NA,1961-1990
37662,Average,Summer,2019,0,18.233333333333300,2018-12-01,2019-02-28,-40.957,175.707,Masterton,NA,1961-1990
37662,Average,Winter,2019,0,8.466666666666670,2019-06-01,2019-08-31,-40.957,175.707,Masterton,NA,1961-1990
